nr,FOR_EXTERNAL_ANNOTATING,NOISES_ANNOTATED,file_name,rec_id,uid,samples,dur_s,rpk_cnt,annN,annS,annV,annU,ann_nz_cnt,ann_nz_frac,nz_cnt,nz_frac,flags
26,,,659ebe17870b3d2fd430bc3b.bin,659ebe17870b3d2fd430bc3b,65955b5f50e02b125d4998ad,128000,640.0,623,623,0,0,0,0,0.0,2,0.28671875,[]
27,,,659ebe17870b3d306f30bc1d.bin,659ebe17870b3d306f30bc1d,65955b5f50e02b125d4998ad,128000,640.0,467,467,0,0,0,0,0.0,0,0.0,[]
28,,,659ebe17870b3d384c30bc26.bin,659ebe17870b3d384c30bc26,65955b5f50e02b125d4998ad,128000,640.0,472,472,0,0,0,0,0.0,0,0.0,[]
29,,,659ebe17870b3d3c0730bc5b.bin,659ebe17870b3d3c0730bc5b,65955b5f50e02b125d4998ad,128000,640.0,800,800,0,0,0,0,0.0,12,4.82734375,[]
30,,,659ebe17870b3d3c1230bc3a.bin,659ebe17870b3d3c1230bc3a,65955b5f50e02b125d4998ad,128000,640.0,697,697,0,0,0,0,0.0,18,12.24765625,[]
31,,,659ebe17870b3d3faf30bc46.bin,659ebe17870b3d3faf30bc46,65955b5f50e02b125d4998ad,128000,640.0,586,586,0,0,0,0,0.0,24,5.45390625,[]
32,,,659ebe17870b3d42a730bc5e.bin,659ebe17870b3d42a730bc5e,65955b5f50e02b125d4998ad,128000,640.0,600,600,0,0,0,0,0.0,18,17.978125,[]
33,,,659ebe17870b3d434530bc4f.bin,659ebe17870b3d434530bc4f,65955b5f50e02b125d4998ad,128000,640.0,604,604,0,0,0,0,0.0,10,5.9765625,[]
34,,,659ebe17870b3d50ae30bc57.bin,659ebe17870b3d50ae30bc57,65955b5f50e02b125d4998ad,128000,640.0,670,670,0,0,0,0,0.0,16,14.588281249999998,[]
35,,,659ebe17870b3d549730bc25.bin,659ebe17870b3d549730bc25,65955b5f50e02b125d4998ad,128000,640.0,642,642,0,0,0,0,0.0,10,11.215625,[]
36,,,659ebe17870b3d57a230bc56.bin,659ebe17870b3d57a230bc56,65955b5f50e02b125d4998ad,128000,640.0,970,970,0,0,0,0,0.0,11,5.68125,[]
37,,,659ebe17870b3d5e5430bc51.bin,659ebe17870b3d5e5430bc51,65955b5f50e02b125d4998ad,128000,640.0,880,880,0,0,0,0,0.0,2,1.9960937500000002,[]
38,,,659ebe17870b3d5e7930bc24.bin,659ebe17870b3d5e7930bc24,65955b5f50e02b125d4998ad,128000,640.0,498,498,0,0,0,0,0.0,1,0.159375,[]
39,,,659ebe17870b3d609330bc35.bin,659ebe17870b3d609330bc35,65955b5f50e02b125d4998ad,128000,640.0,490,490,0,0,0,0,0.0,0,0.0,[]
40,,,659ebe17870b3d6a5630bc32.bin,659ebe17870b3d6a5630bc32,65955b5f50e02b125d4998ad,128000,640.0,501,501,0,0,0,0,0.0,0,0.0,[]
41,,,659ebe17870b3d6f6330bc44.bin,659ebe17870b3d6f6330bc44,65955b5f50e02b125d4998ad,128000,640.0,677,677,0,0,0,0,0.0,9,3.8992187499999997,[]
42,,,659ebe17870b3d743730bc2e.bin,659ebe17870b3d743730bc2e,65955b5f50e02b125d4998ad,128000,640.0,517,517,0,0,0,0,0.0,8,6.69296875,[]
43,,,659ebe17870b3d74f530bc1e.bin,659ebe17870b3d74f530bc1e,65955b5f50e02b125d4998ad,128000,640.0,458,458,0,0,0,0,0.0,0,0.0,[]
44,,,659ebe17870b3d7c1d30bc38.bin,659ebe17870b3d7c1d30bc38,65955b5f50e02b125d4998ad,128000,640.0,497,497,0,0,0,0,0.0,3,3.2515625,[]
45,,,659ebe17870b3d8afb30bc4d.bin,659ebe17870b3d8afb30bc4d,65955b5f50e02b125d4998ad,128000,640.0,964,964,0,0,0,0,0.0,1,0.13125,[]
46,,,659ebe17870b3d914830bc30.bin,659ebe17870b3d914830bc30,65955b5f50e02b125d4998ad,128000,640.0,497,497,0,0,0,0,0.0,0,0.0,[]
47,,,659ebe17870b3dc2a830bc59.bin,659ebe17870b3dc2a830bc59,65955b5f50e02b125d4998ad,128000,640.0,806,806,0,0,0,0,0.0,13,5.03203125,[]
48,,,659ebe17870b3dc60c30bc1b.bin,659ebe17870b3dc60c30bc1b,65955b5f50e02b125d4998ad,128000,640.0,454,454,0,0,0,0,0.0,1,0.178125,[]
49,,,659ebe17870b3dcc3a30bc47.bin,659ebe17870b3dcc3a30bc47,65955b5f50e02b125d4998ad,128000,640.0,734,734,0,0,0,0,0.0,9,2.6890625000000004,[]
50,,,659ebe17870b3dd83730bc3c.bin,659ebe17870b3dd83730bc3c,65955b5f50e02b125d4998ad,128000,640.0,719,719,0,0,0,0,0.0,11,7.90234375,[]
51,,,659ebe17870b3de41430bc1f.bin,659ebe17870b3de41430bc1f,65955b5f50e02b125d4998ad,128000,640.0,490,490,0,0,0,0,0.0,0,0.0,[]
52,,,659ebe17870b3de7e330bc28.bin,659ebe17870b3de7e330bc28,65955b5f50e02b125d4998ad,128000,640.0,493,493,0,0,0,0,0.0,1,0.190625,[]
53,,,659ebe17870b3deed230bc2c.bin,659ebe17870b3deed230bc2c,65955b5f50e02b125d4998ad,128000,640.0,500,500,0,0,0,0,0.0,0,0.0,[]
54,,,659ebe17870b3dfe3430bc5a.bin,659ebe17870b3dfe3430bc5a,65955b5f50e02b125d4998ad,128000,640.0,704,704,0,0,0,0,0.0,26,17.68515625,[]
55,,,659ebe18870b3d045b30bc7b.bin,659ebe18870b3d045b30bc7b,65955b5f50e02b125d4998ad,128000,640.0,741,741,0,0,0,0,0.0,14,12.687499999999998,[]
56,,,659ebe18870b3d10ef30bc8e.bin,659ebe18870b3d10ef30bc8e,65955b5f50e02b125d4998ad,127999,639.995,684,684,0,0,0,0,0.0,3,3.2500253908233656,[]
57,,,659ebe18870b3d27ad30bc75.bin,659ebe18870b3d27ad30bc75,65955b5f50e02b125d4998ad,128000,640.0,692,692,0,0,0,0,0.0,0,0.0,[]
58,,,659ebe18870b3d410630bc78.bin,659ebe18870b3d410630bc78,65955b5f50e02b125d4998ad,128000,640.0,677,677,0,0,0,0,0.0,7,4.62734375,[]
59,,,659ebe18870b3d5b6c30bc8d.bin,659ebe18870b3d5b6c30bc8d,65955b5f50e02b125d4998ad,128000,640.0,632,632,0,0,0,0,0.0,22,19.74453125,[]
60,,,659ebe18870b3d5d2930bc6d.bin,659ebe18870b3d5d2930bc6d,65955b5f50e02b125d4998ad,128000,640.0,751,751,0,0,0,0,0.0,18,11.73046875,[]
61,,,659ebe18870b3d653c30bc70.bin,659ebe18870b3d653c30bc70,65955b5f50e02b125d4998ad,128000,640.0,692,692,0,0,0,0,0.0,2,0.5359375000000001,[]
62,,,659ebe18870b3d724430bc63.bin,659ebe18870b3d724430bc63,65955b5f50e02b125d4998ad,128000,640.0,656,656,0,0,0,0,0.0,10,4.3023437499999995,[]
63,,,659ebe18870b3d909530bc61.bin,659ebe18870b3d909530bc61,65955b5f50e02b125d4998ad,128000,640.0,707,707,0,0,0,0,0.0,18,15.944531249999999,[]
64,,,659ebe18870b3dba7e30bc74.bin,659ebe18870b3dba7e30bc74,65955b5f50e02b125d4998ad,128000,640.0,634,634,0,0,0,0,0.0,14,9.7203125,[]
65,,,659ebe18870b3dc82630bc77.bin,659ebe18870b3dc82630bc77,65955b5f50e02b125d4998ad,128000,640.0,669,669,0,0,0,0,0.0,2,0.20625000000000002,[]
66,,,659ebe18870b3dda0e30bc6b.bin,659ebe18870b3dda0e30bc6b,65955b5f50e02b125d4998ad,128000,640.0,646,646,0,0,0,0,0.0,12,7.71328125,[]
67,,,659ebe18870b3deccc30bc68.bin,659ebe18870b3deccc30bc68,65955b5f50e02b125d4998ad,128000,640.0,622,622,0,0,0,0,0.0,13,8.7765625,[]
68,,,659ebe18870b3df14730bc73.bin,659ebe18870b3df14730bc73,65955b5f50e02b125d4998ad,128000,640.0,690,690,0,0,0,0,0.0,1,0.05078125,[]
69,,,659ebe18870b3dfaf030bc71.bin,659ebe18870b3dfaf030bc71,65955b5f50e02b125d4998ad,128000,640.0,783,783,0,0,0,0,0.0,1,0.12890625,[]
