filename,samples,basename,quality,noni,tag,cmt,mark,rpk_cnt,hN,hS,hV,hU,mlS,mlV,mlU,h_nz_cnt,h_nz_len,h_nz_frac%,ml_nz_cnt,ml_nz_len,ml_nz_frac%,flags,recordingId,userId,notes
1005_13,127999,1630720.872,0,,,,,558,557,1,0,0,0,0,0,0,0,0,0,0,0,FULLY_ANNOTATED_PROFESSIONALLY,613f56f73d08d4a8f0cdcb71,613b1c6f3d08d4370acdc8f3,"labai geras, tik pora vietų su mažais triukšmais"
1005_14,127999,1630719.632,0,,,,,540,539,1,0,0,0,0,0,0,0,0,0,0,0,FULLY_ANNOTATED_PROFESSIONALLY,613f56f73d08d4126ecdcb6e,613b1c6f3d08d4370acdc8f3,Idealus
1005_15,127999,1630719.014,0,,,,,543,542,1,0,0,0,0,0,0,0,0,0,0,0,FULLY_ANNOTATED_PROFESSIONALLY,613f56f73d08d45121cdcb6f,613b1c6f3d08d4370acdc8f3,Idealus
1005_16,127999,1630737,0,,,,,563,562,1,0,0,0,0,0,0,0,0,0,0,0,FULLY_ANNOTATED_PROFESSIONALLY,613f56f73d08d4518bcdcb8e,613b1c6f3d08d4370acdc8f3,"labai geras, tik pora vietų su mažais triukšmais"
1005_17,127999,1630725.864,0,,,,,573,573,0,0,0,0,0,0,0,0,0,0,0,0,FULLY_ANNOTATED_PROFESSIONALLY,613f56f73d08d46bfecdcb79,613b1c6f3d08d4370acdc8f3,
1005_2,127999,1630693.635,0,,,,,654,651,3,0,0,0,0,0,0,0,0,0,0,0,"EXTERNALLY_ANNOTATED,FOR_EXTERNAL_ANNOTATING,PSEUDO_ANNOTATED",613f56f73d08d4dc87cdcb40,613b1c6f3d08d4370acdc8f3,"Anotuoti 2 S, ML nerado nei vieno."
1005_3,127999,1630734.526,0,,,,,579,576,3,0,0,0,0,0,0,0,0,0,0,0,FULLY_ANNOTATED_PROFESSIONALLY,613f56f73d08d40b6fcdcb88,613b1c6f3d08d4370acdc8f3,"Intervalą nuo 62600, apie 10 pūpsnių verta užblokuoti, ML nepakenkė"
1005_4,127999,1630736.382,0,1,1111,,x,542,540,1,1,0,0,0,0,1,400,0.31250244142532363,0,0,0,FULLY_ANNOTATED_PROFESSIONALLY,613f56f73d08d4bc97cdcb8a,613b1c6f3d08d4370acdc8f3,Labai švarus
1005_5,127999,1630718.396,0,,,,,548,546,2,0,0,0,0,0,0,0,0,0,0,0,FULLY_ANNOTATED_PROFESSIONALLY,613f56f73d08d47b8ecdcb6d,613b1c6f3d08d4370acdc8f3,"Anotuoti 2 S, ML nerado nei vieno."
1005_6,127999,1630721.49,0,,,,,551,549,1,1,0,0,0,0,0,0,0,0,0,0,FULLY_ANNOTATED_PROFESSIONALLY,613f56f73d08d41969cdcb72,613b1c6f3d08d4370acdc8f3,"Anotuoti 1 S ir 1 V, ML S nerado, V rado."
1005_7,127999,1630733.29,0,,,,,569,567,2,0,0,0,0,0,0,0,0,0,0,0,FULLY_ANNOTATED_PROFESSIONALLY,613f56f73d08d4baddcdcb83,613b1c6f3d08d4370acdc8f3,Idealus
1005_8,127999,1630717.159,0,,,,,560,559,1,0,0,0,0,0,0,0,0,0,0,0,FULLY_ANNOTATED_PROFESSIONALLY,613f56f73d08d432decdcb6b,613b1c6f3d08d4370acdc8f3,
1005_9,127999,1630735.765,0,,,,,574,573,1,0,0,0,0,0,0,0,0,0,0,0,FULLY_ANNOTATED_PROFESSIONALLY,613f56f73d08d455c1cdcb8d,613b1c6f3d08d4370acdc8f3,
1006_0,127999,1630795.799,1,,,,,608,607,0,1,0,0,0,0,0,0,0,0,0,0,FULLY_ANNOTATED_PROFESSIONALLY,613f59533d08d41a8bcdceb8,613b1c9c3d08d43181cdc8f4,"Yra epizodų su BW, ties 38000 - EMA"
1006_1,127999,1630797.676,0,1,1111,,NC,581,580,0,1,0,0,0,0,1,400,0.31250244142532363,0,0,0,FULLY_ANNOTATED_PROFESSIONALLY,613f59533d08d413facdcebb,613b1c9c3d08d43181cdc8f4,"labai stabilus įrašas,  be triukšmų,  1 V, rado"
1006_2,127999,1630813.935,0,4,3333,,xx,675,674,1,0,0,0,0,0,4,11200,8.750068359909061,0,0,0,FULLY_ANNOTATED_PROFESSIONALLY,613f59533d08d4e57fcdced5,613b1c9c3d08d43181cdc8f4,"Yra keletas epizodų su BW, EMG, EMA"
1006_3,127999,1630808.306,0,6,3333,,xx,637,637,0,0,0,0,0,0,6,4300,3.3594012453222293,0,0,0,FULLY_ANNOTATED_PROFESSIONALLY,613f59533d08d47abacdcecc,613b1c9c3d08d43181cdc8f4,Yra keletas epizodų su BW šuoliu
1007_0,127999,1631001.238,0,,,,,649,648,1,0,0,0,0,0,0,0,0,0,0,0,FULLY_ANNOTATED_PROFESSIONALLY,613b22203d08d4b817cdc96f,613b1cc33d08d4c0d5cdc8f5,"labai stabilus įrašas, beveik be triukšmų (tik poroje vietų),  1 S, pripažino kaip V, nemažai U"
1007_1,127999,1630959.214,0,2,1111,,x,612,612,0,0,0,0,0,0,2,1200,0.9375073242759709,0,0,0,FULLY_ANNOTATED_PROFESSIONALLY,613b221f3d08d453a1cdc914,613b1cc33d08d4c0d5cdc8f5,Labai geras 
1008_0,127999,1630771.589,0,1,1111,,x,747,724,2,21,0,0,0,0,1,100,0.07812561035633091,0,0,0,"EXTERNALLY_ANNOTATED,FOR_EXTERNAL_ANNOTATING",613f58593d08d4cec1cdccf1,613b1d0c3d08d413ffcdc8f6,Gana silpnas BW
1008_1,127999,1630764.137,0,,,,,840,817,1,22,0,0,0,0,0,0,0,0,0,0,"EXTERNALLY_ANNOTATED,FOR_EXTERNAL_ANNOTATING",613f58593d08d44f8dcdccf5,613b1d0c3d08d413ffcdc8f6,"Ryškus BW, bet be staigių šuolių"
1008_10,127999,1630762.273,0,,,,,886,876,2,8,0,0,0,0,0,0,0,0,0,0,"EXTERNALLY_ANNOTATED,FOR_EXTERNAL_ANNOTATING",613f58593d08d401b0cdccf4,613b1d0c3d08d413ffcdc8f6,"Ryškus BW, bet be staigių šuolių, silpnas EMG"
1008_11,127999,1630812.584,0,,,,x,676,667,0,9,0,0,0,0,0,0,0,0,0,0,FULLY_ANNOTATED_PROFESSIONALLY,613f585a3d08d49213cdcd47,613b1d0c3d08d413ffcdc8f6,Švarus
1008_12,127999,1630758.549,0,5,1111,,x,717,708,4,5,0,0,0,0,5,7800,6.093797607793811,0,0,0,"EXTERNALLY_ANNOTATED,FOR_EXTERNAL_ANNOTATING",613f58593d08d461c8cdcce8,613b1d0c3d08d413ffcdc8f6,"Nedidelis BW, ryškesnis įrašo pabaigoje"
1008_13,127999,1630808.859,0,,,,,675,666,0,8,1,0,0,0,0,0,0,0,0,0,FULLY_ANNOTATED_PROFESSIONALLY,613f58593d08d4d1accdcd3b,613b1d0c3d08d413ffcdc8f6,Švarus
1008_14,127999,1630811.963,0,,,,,678,670,0,8,0,0,0,0,0,0,0,0,0,0,FULLY_ANNOTATED_PROFESSIONALLY,613f58593d08d418e6cdcd41,613b1d0c3d08d413ffcdc8f6,Nedidelis BW ir kartais nedidelis EMG
1008_15,127999,1630809.483,0,,,,,676,668,0,8,0,0,0,0,0,0,0,0,0,0,FULLY_ANNOTATED_PROFESSIONALLY,613f58593d08d4bdedcdcd3c,613b1d0c3d08d413ffcdc8f6,Švarus
1008_16,127999,1630811.343,0,,,,,678,671,0,7,0,0,0,0,0,0,0,0,0,0,FULLY_ANNOTATED_PROFESSIONALLY,613f58593d08d4975fcdcd40,613b1d0c3d08d413ffcdc8f6,Tik pabaigoje atsiranda trikdžiai
1008_17,127999,1630810.723,0,,,,,675,665,0,7,3,0,0,0,0,0,0,0,0,0,FULLY_ANNOTATED_PROFESSIONALLY,613f58593d08d461accdcd3f,613b1d0c3d08d413ffcdc8f6,
1008_18,127999,1630761.032,2,,,,,974,967,0,7,0,0,0,0,0,0,0,0,0,0,"EXTERNALLY_ANNOTATED,FOR_EXTERNAL_ANNOTATING",613f58593d08d42c00cdccf6,613b1d0c3d08d413ffcdc8f6,
1008_19,127999,1630810.103,0,,,,,675,668,0,6,1,0,0,0,0,0,0,0,0,0,FULLY_ANNOTATED_PROFESSIONALLY,613f58593d08d47206cdcd3e,613b1d0c3d08d413ffcdc8f6,Labai švarus
1008_2,127999,1630763.516,1,,,,,835,814,0,21,0,0,0,0,0,0,0,0,0,0,"EXTERNALLY_ANNOTATED,FOR_EXTERNAL_ANNOTATING",613f58593d08d40aeacdcceb,613b1d0c3d08d413ffcdc8f6,"daug BW, yra šokinėjančių BW, nedideli EMG"
1008_20,127999,1630806.377,1,,,,,677,673,0,4,0,0,0,0,0,0,0,0,0,0,FULLY_ANNOTATED_PROFESSIONALLY,613f58593d08d40cf3cdcd38,613b1d0c3d08d413ffcdc8f6,"Yra BW bangų ir šuolių, EMG maži, kartais matosi EMA epizodų"
1008_21,127999,1630806.998,1,,,,,675,671,0,4,0,0,0,0,0,0,0,0,0,0,FULLY_ANNOTATED_PROFESSIONALLY,613f58593d08d406adcdcd3a,613b1d0c3d08d413ffcdc8f6,"izolinija vaikščioja nedaug, bet dažnai, beveik visur išlenda raumenų triušmai, nemažai surasta U"
1008_22,127999,1630808.238,0,,,,,674,671,0,3,0,0,0,0,0,0,0,0,0,0,FULLY_ANNOTATED_PROFESSIONALLY,613f58593d08d45725cdcd39,613b1d0c3d08d413ffcdc8f6,Gera kokybė
1008_23,127999,1630777.178,0,,,,,799,796,0,3,0,0,0,0,0,0,0,0,0,0,"EXTERNALLY_ANNOTATED,FOR_EXTERNAL_ANNOTATING",613f58593d08d48446cdcd06,613b1d0c3d08d413ffcdc8f6,Trikdis pasirodo pačioje pabaigoje
1008_24,127999,1630807.618,0,,,,,672,671,0,1,0,0,0,0,0,0,0,0,0,0,FULLY_ANNOTATED_PROFESSIONALLY,613f58593d08d46c2fcdcd3d,613b1d0c3d08d413ffcdc8f6,Idealus
1008_3,127999,1630757.924,1,,,,,742,723,11,8,0,0,0,0,0,0,0,0,0,0,"AI_DATASET,EXTERNALLY_ANNOTATED,FOR_EXTERNAL_ANNOTATING",613f58593d08d48596cdcce9,613b1d0c3d08d413ffcdc8f6,"daug BW, yra šokinėjančių BW, nedideli EMG"
1008_4,127999,1630757.303,1,,,,,738,720,4,14,0,0,0,0,0,0,0,0,0,0,"EXTERNALLY_ANNOTATED,FOR_EXTERNAL_ANNOTATING",613f58593d08d43c7dcdccea,613b1d0c3d08d413ffcdc8f6,Lyg tai pradžioje išlenda EMA
1008_5,127999,1630759.79,1,,,,,951,935,0,16,0,0,0,0,0,0,0,0,0,0,FULLY_ANNOTATED_PROFESSIONALLY,613f58593d08d40e08cdccf3,613b1d0c3d08d413ffcdc8f6,"EMG, kartais nesilpnas, pastovus, netvarkingas  BW  "
1008_6,127999,1630762.894,0,,,,,821,807,2,12,0,0,0,0,0,0,0,0,0,0,"EXTERNALLY_ANNOTATED,FOR_EXTERNAL_ANNOTATING",613f58593d08d42662cdccf7,613b1d0c3d08d413ffcdc8f6,"Neintensyvus BW, silpnas EMG"
1008_7,127999,1630770.348,0,,,,,813,799,4,10,0,0,0,0,0,0,0,0,0,0,"EXTERNALLY_ANNOTATED,FOR_EXTERNAL_ANNOTATING",613f58593d08d40c60cdccef,613b1d0c3d08d413ffcdc8f6,Stebimas BW
1008_8,127999,1630768.486,0,,,,,756,743,1,12,0,0,0,0,0,0,0,0,0,0,"EXTERNALLY_ANNOTATED,FOR_EXTERNAL_ANNOTATING",613f58593d08d46025cdccf0,613b1d0c3d08d413ffcdc8f6,
1008_9,127999,1630759.17,1,,,,,858,848,1,9,0,0,0,0,0,0,0,0,0,0,"EXTERNALLY_ANNOTATED,FOR_EXTERNAL_ANNOTATING",613f58593d08d48eefcdccec,613b1d0c3d08d413ffcdc8f6,"Intensyvus BW, dažnas nelabai intensyvus EMG "
1009_0,127999,1631141.137,0,,,,,740,719,21,0,0,0,0,0,0,0,0,0,0,0,FULLY_ANNOTATED_PROFESSIONALLY,613b22d53d08d4ea5fcdc9ec,613b1d673d08d4d1f3cdc8f8,
1009_1,127999,1631141.764,0,,3333,,xx,865,845,20,0,0,0,0,0,0,0,0,0,0,0,"AI_DATASET,FULLY_ANNOTATED_PROFESSIONALLY",613b22d53d08d4fe94cdc9ed,613b1d673d08d4d1f3cdc8f8,Labai geras 
1009_10,127999,1631132.359,0,,,,,659,655,4,0,0,0,0,0,0,0,0,0,0,0,FULLY_ANNOTATED_PROFESSIONALLY,613b22d43d08d40c22cdc9d9,613b1d673d08d4d1f3cdc8f8,Labai geras 
1009_11,127999,1631130.477,0,,,,,620,617,3,0,0,0,0,0,0,0,0,0,0,0,FULLY_ANNOTATED_PROFESSIONALLY,613b22d43d08d4c0c9cdc9d7,613b1d673d08d4d1f3cdc8f8,Idealus
1009_12,127999,1631057.107,0,2,1111,,x,779,776,3,0,0,0,0,0,2,8800,6.875053711357119,0,0,0,"EXTERNALLY_ANNOTATED,FOR_EXTERNAL_ANNOTATING",613b22d43d08d443f5cdc98e,613b1d673d08d4d1f3cdc8f8,Idealus
1009_13,127999,1631056.479,0,1,1111,,x,800,797,3,0,0,0,0,0,1,200,0.15625122071266181,0,0,0,"EXTERNALLY_ANNOTATED,FOR_EXTERNAL_ANNOTATING",613b22d43d08d43f31cdc98d,613b1d673d08d4d1f3cdc8f8,Idealus
1009_14,127999,1631136.748,0,,,,x,668,665,3,0,0,0,0,0,0,0,0,0,0,0,FULLY_ANNOTATED_PROFESSIONALLY,613b22d43d08d4f064cdc9e1,613b1d673d08d4d1f3cdc8f8,Idealus
1009_15,127999,1631077.172,0,,,,,1011,1009,2,0,0,0,0,0,0,0,0,0,0,0,FULLY_ANNOTATED_PROFESSIONALLY,613b22d53d08d41499cdca02,613b1d673d08d4d1f3cdc8f8,Labai geras 
1009_16,127999,1631115.424,0,,,,,668,666,2,0,0,0,0,0,0,0,0,0,0,0,FULLY_ANNOTATED_PROFESSIONALLY,613b22d43d08d485eccdc9c0,613b1d673d08d4d1f3cdc8f8,Labai geras 
1009_17,127999,1631126.715,0,,,,,665,663,2,0,0,0,0,0,0,0,0,0,0,0,FULLY_ANNOTATED_PROFESSIONALLY,613b22d43d08d4b9b1cdc9d1,613b1d673d08d4d1f3cdc8f8,Labai geras 
1009_18,127999,1631119.815,0,,,,,618,616,2,0,0,0,0,0,0,0,0,0,0,0,FULLY_ANNOTATED_PROFESSIONALLY,613b22d43d08d4df06cdc9c5,613b1d673d08d4d1f3cdc8f8,Idealus
1009_19,127999,1631059.618,0,,,,,877,875,2,0,0,0,0,0,0,0,0,0,0,0,FULLY_ANNOTATED_PROFESSIONALLY,613b22d43d08d47e3bcdc99f,613b1d673d08d4d1f3cdc8f8,"yra triukšmo atkarpų, ištryniau vieną R"
1009_2,127999,1631139.883,1,,,,,1037,1019,13,0,5,0,0,0,0,0,0,0,0,0,"EXTERNALLY_ANNOTATED,FOR_EXTERNAL_ANNOTATING",613b22d53d08d40ad7cdc9e7,613b1d673d08d4d1f3cdc8f8,"34200 - raumenų triukšmų segmentas - 6 pikai, 43200 - 7 pikai, 46200 - 9 pikai, 49800 - 10 pikų, 52000 - 5 pikai ir t.t., tokių segmentų yra nemažai"
1009_20,127999,1631113.542,0,,,,,652,650,2,0,0,0,0,0,0,0,0,0,0,0,FULLY_ANNOTATED_PROFESSIONALLY,613b22d43d08d40d95cdc9ba,613b1d673d08d4d1f3cdc8f8,Labai geras 
1009_21,127999,1631119.188,0,,,,,633,632,1,0,0,0,0,0,0,0,0,0,0,0,FULLY_ANNOTATED_PROFESSIONALLY,613b22d43d08d4d092cdc9c8,613b1d673d08d4d1f3cdc8f8,Idealus
1009_22,127999,1631114.169,0,,,,,667,666,1,0,0,0,0,0,0,0,0,0,0,0,FULLY_ANNOTATED_PROFESSIONALLY,613b22d43d08d4dc48cdc9bb,613b1d673d08d4d1f3cdc8f8,Idealus
1009_23,127999,1631055.852,0,,,,,929,928,1,0,0,0,0,0,0,0,0,0,0,0,"EXTERNALLY_ANNOTATED,FOR_EXTERNAL_ANNOTATING",613b22d43d08d4165ccdc98c,613b1d673d08d4d1f3cdc8f8,geras
1009_24,127999,1631129.85,0,,,,,672,671,1,0,0,0,0,0,0,0,0,0,0,0,FULLY_ANNOTATED_PROFESSIONALLY,613b22d43d08d4b069cdc9d6,613b1d673d08d4d1f3cdc8f8,"Daug maž gera kokybė, tiik 2 vietose staigūs izolinijos šuoliai"
1009_25,127999,1631058.364,0,,,,,770,769,1,0,0,0,0,0,0,0,0,0,0,0,FULLY_ANNOTATED_PROFESSIONALLY,613b22d43d08d47526cdc997,613b1d673d08d4d1f3cdc8f8,Idealus
1009_26,127999,1631099.746,0,,,,,885,884,1,0,0,0,0,0,0,0,0,0,0,0,FULLY_ANNOTATED_PROFESSIONALLY,613b22d43d08d4f763cdc9a6,613b1d673d08d4d1f3cdc8f8,Idealus
1009_27,127999,1631132.986,0,,,,,675,674,1,0,0,0,0,0,0,0,0,0,0,0,FULLY_ANNOTATED_PROFESSIONALLY,613b22d43d08d45b77cdc9da,613b1d673d08d4d1f3cdc8f8,Labai geras 
1009_28,127999,1631110.407,0,,,,,724,724,0,0,0,0,0,0,0,0,0,0,0,0,FULLY_ANNOTATED_PROFESSIONALLY,613b22d43d08d4d147cdc9b8,613b1d673d08d4d1f3cdc8f8,"geras, visą laiką banguojanti izolinija"
1009_3,127999,1631076.545,0,,,,,905,897,8,0,0,0,0,0,0,0,0,0,0,0,FULLY_ANNOTATED_PROFESSIONALLY,613b22d53d08d471a4cdca04,613b1d673d08d4d1f3cdc8f8,"geras, tik keletas vietų su triukšmais"
1009_4,127999,1631135.494,0,,,,,649,644,5,0,0,0,0,0,0,0,0,0,0,0,FULLY_ANNOTATED_PROFESSIONALLY,613b22d43d08d42818cdc9de,613b1d673d08d4d1f3cdc8f8,Labai geras 
1009_5,127999,1631057.738,0,,,,,772,767,5,0,0,0,0,0,0,0,0,0,0,0,"EXTERNALLY_ANNOTATED,FOR_EXTERNAL_ANNOTATING",613b22d43d08d4642dcdc98f,613b1d673d08d4d1f3cdc8f8,Labai geras 
1009_6,127999,1631075.918,0,,,,,901,896,5,0,0,0,0,0,0,0,0,0,0,0,FULLY_ANNOTATED_PROFESSIONALLY,613b22d53d08d4e16acdca03,613b1d673d08d4d1f3cdc8f8,"geras, tik keletas vietų su triukšmais"
1009_7,127999,1631137.375,0,,,,,683,678,5,0,0,0,0,0,0,0,0,0,0,0,FULLY_ANNOTATED_PROFESSIONALLY,613b22d43d08d41583cdc9e3,613b1d673d08d4d1f3cdc8f8,Idealus
1009_8,127999,1631136.121,0,,,,,671,666,5,0,0,0,0,0,0,0,0,0,0,0,FULLY_ANNOTATED_PROFESSIONALLY,613b22d43d08d4efb6cdc9e0,613b1d673d08d4d1f3cdc8f8,Idealus
1009_9,127999,1631131.731,0,,,,,657,653,4,0,0,0,0,0,0,0,0,0,0,0,FULLY_ANNOTATED_PROFESSIONALLY,613b22d43d08d40a7acdc9dd,613b1d673d08d4d1f3cdc8f8,Idealus
1010_0,127999,1630869.824,0,3,1111,,x,749,748,1,0,0,0,0,0,3,1600,1.2500097657012945,0,0,0,FULLY_ANNOTATED_PROFESSIONALLY,613f58b73d08d439a0cdcda2,613b1d903d08d4df57cdc8f9,Idealus
