nr,sequenceId,recordingId,file_name,channel_count,user_id,bin_bytes,samples,duration_s,flags_count,flags,rpeaks_count,ann_n_count,ann_s_count,ann_v_count,ann_u_count,json_ok,noises_count,noises_fraction,annotated_noises_count,annotated_noises_fraction,has_comment,json_keys_correct,_annotated_noises_samples
14,DATA_FOR_TRAINING,613f59b33d08d40c95cdcf25,1011_1.npy,1,613b1db23d08d4ea68cdc8fa,1024120,127999,639.995,1,['FULLY_ANNOTATED_PROFESSIONALLY'],714,713,1,0,0,True,0,0.0,6,0.07187556152782444,False,True,0
15,DATA_FOR_TRAINING,6144cd8bbd0cc524f92753b3,1013_13.npy,1,6144c4fbbd0cc552e427535f,1024120,127999,639.995,1,['FULLY_ANNOTATED_PROFESSIONALLY'],716,584,0,132,0,True,0,0.0,3,0.022656427003335963,False,True,0
16,DATA_FOR_TRAINING,6144cd8bbd0cc5b5c3275399,1013_14.npy,1,6144c4fbbd0cc552e427535f,1024120,127999,639.995,1,['FULLY_ANNOTATED_PROFESSIONALLY'],726,597,0,129,0,True,0,0.0,1,0.015625122071266182,False,True,0
17,DATA_FOR_TRAINING,6145b1a6bd0cc52da6275905,1015_0.npy,1,6144c588bd0cc52ba0275362,1024120,127999,639.995,1,['FULLY_ANNOTATED_PROFESSIONALLY'],558,493,0,65,0,True,0,0.0,4,0.01640637817482949,False,True,0
18,DATA_FOR_TRAINING,6145b1a6bd0cc582a4275926,1015_17.npy,1,6144c588bd0cc52ba0275362,1024120,127999,639.995,2,"['FOR_EXTERNAL_ANNOTATING', 'EXTERNALLY_ANNOTATED']",603,578,0,25,0,True,0,0.0,1,0.0015625122071266182,False,True,0
19,DATA_FOR_TRAINING,6145a8e4bd0cc5fb9827553c,1017_0.npy,1,6144c5e5bd0cc503ed275364,1024120,127999,639.995,1,['FULLY_ANNOTATED_PROFESSIONALLY'],518,518,0,0,0,True,0,0.0,1,0.0015625122071266182,False,True,0
20,DATA_FOR_TRAINING,6145aef2bd0cc5522427584e,1018_6.npy,1,6144c658bd0cc5a1c0275367,1024120,127999,639.995,1,['FULLY_ANNOTATED_PROFESSIONALLY'],620,619,0,1,0,True,0,0.0,2,0.021093914796209347,False,True,0
21,DATA_FOR_TRAINING,6145aef2bd0cc5235e27584c,1018_7.npy,1,6144c658bd0cc5a1c0275367,1024120,127999,639.995,1,['FULLY_ANNOTATED_PROFESSIONALLY'],613,612,0,1,0,True,0,0.0,1,0.0015625122071266182,False,True,0
22,DATA_FOR_TRAINING,6145fd97bd0cc5ed18275bc8,1019_0.npy,1,6144c682bd0cc5acb7275368,1024120,127999,639.995,1,['FULLY_ANNOTATED_PROFESSIONALLY'],998,875,0,123,0,True,0,0.0,5,0.015625122071266182,False,True,0
23,DATA_FOR_TRAINING,6145fd97bd0cc560c4275ba3,1019_1.npy,1,6144c682bd0cc5acb7275368,1024120,127999,639.995,1,['FULLY_ANNOTATED_PROFESSIONALLY'],777,672,0,105,0,True,0,0.0,3,0.005468792724943164,False,True,0
24,DATA_FOR_TRAINING,614dc6914bac1c1cd8017db9,1023_0.npy,1,614dbf7e4bac1c78af017aed,1024120,127999,639.995,1,['FULLY_ANNOTATED_PROFESSIONALLY'],846,846,0,0,0,True,0,0.0,1,0.0031250244142532364,False,True,0
25,DATA_FOR_TRAINING,614dc6c74bac1c84d1017e13,1024_0.npy,1,614dbfa84bac1c1231017aee,1024120,127999,639.995,1,['FULLY_ANNOTATED_PROFESSIONALLY'],548,547,1,0,0,True,0,0.0,1,0.00937507324275971,False,True,0
26,DATA_FOR_TRAINING,614dc6ff4bac1c3a8d017f07,1025_0.npy,1,614dbfd24bac1cce7b017aef,1024120,127999,639.995,2,"['FOR_EXTERNAL_ANNOTATING', 'EXTERNALLY_ANNOTATED']",880,869,11,0,0,True,0,0.0,7,0.03593778076391222,False,True,0
27,DATA_FOR_TRAINING,61570a262312e57080168e75,1026_0.npy,1,615708ba2312e518c0168e69,1024120,127999,639.995,1,['FULLY_ANNOTATED_PROFESSIONALLY'],745,724,0,21,0,True,0,0.0,5,0.01796889038195611,False,True,0
28,DATA_FOR_TRAINING,61570a262312e52b82168e70,1026_4.npy,1,615708ba2312e518c0168e69,1024120,127999,639.995,1,['FULLY_ANNOTATED_PROFESSIONALLY'],851,841,0,10,0,True,0,0.0,11,0.15078242798771865,True,True,0
29,DATA_FOR_TRAINING,61570a9f2312e5391b168f61,1027_0.npy,1,615708ea2312e56066168e6a,1024120,127999,639.995,1,['FULLY_ANNOTATED_PROFESSIONALLY'],759,758,0,1,0,True,0,0.0,8,0.04062531738529207,False,True,0
30,DATA_FOR_TRAINING,61570af62312e5021c168fd1,1028_1.npy,1,6157091f2312e5b88c168e6b,1024120,127999,639.995,1,['FULLY_ANNOTATED_PROFESSIONALLY'],655,654,1,0,0,True,0,0.0,2,0.006250048828506473,False,True,0
31,DATA_FOR_TRAINING,61570b7b2312e5693f169094,1029_0.npy,1,615709472312e5fe91168e6c,1024120,127999,639.995,1,['FULLY_ANNOTATED_PROFESSIONALLY'],652,651,1,0,0,True,0,0.0,3,0.03515652466034891,False,True,0
32,DATA_FOR_TRAINING,622e39423c70e641048a2985,1097_0.npy,1,622dfe483c70e6abd58a21ab,1024120,127999,639.995,1,['FULLY_ANNOTATED_PROFESSIONALLY'],560,508,52,0,0,True,0,0.0,2,0.021093914796209347,False,True,0
33,DATA_FOR_TRAINING,622e39423c70e65ff88a29fd,1097_1.npy,1,622dfe483c70e6abd58a21ab,1024120,127999,639.995,1,['FULLY_ANNOTATED_PROFESSIONALLY'],651,626,25,0,0,True,0,0.0,1,0.0015625122071266182,False,True,0
34,DATA_FOR_TRAINING,67f2cf89a588a8cdf08b3cfd,1102_0.npy,1,655341fe7f978676df92e657,1024128,128000,640.0,1,['FULLY_ANNOTATED_PROFESSIONALLY'],714,613,0,101,0,True,0,0.0,1,0.0078125,False,True,0
35,DATA_FOR_TRAINING,67f2cf73f29283f5095d754d,1102_1.npy,1,655341fe7f978676df92e657,1024128,128000,640.0,1,['FULLY_ANNOTATED_PROFESSIONALLY'],718,608,0,110,0,True,0,0.0,0,0.0,False,True,0
